Loss : tensor(0.5956, grad_fn=<AddBackward0>)
Loss : tensor(0.6286, grad_fn=<AddBackward0>)
Loss : tensor(0.4919, grad_fn=<AddBackward0>)
Loss : tensor(0.4871, grad_fn=<AddBackward0>)
Loss : tensor(0.5094, grad_fn=<AddBackward0>)
Loss : tensor(0.5155, grad_fn=<AddBackward0>)
Loss : tensor(0.7601, grad_fn=<AddBackward0>)
Loss : tensor(0.4590, grad_fn=<AddBackward0>)
Loss : tensor(0.5078, grad_fn=<AddBackward0>)
Loss : tensor(0.4385, grad_fn=<AddBackward0>)
Loss : tensor(0.5096, grad_fn=<AddBackward0>)
Loss : tensor(0.5249, grad_fn=<AddBackward0>)
Loss : tensor(0.6042, grad_fn=<AddBackward0>)
Loss : tensor(0.5543, grad_fn=<AddBackward0>)
Loss : tensor(0.5454, grad_fn=<AddBackward0>)
Loss : tensor(0.6777, grad_fn=<AddBackward0>)
Loss : tensor(0.5250, grad_fn=<AddBackward0>)
Loss : tensor(0.5006, grad_fn=<AddBackward0>)
Loss : tensor(0.5219, grad_fn=<AddBackward0>)
Loss : tensor(0.5507, grad_fn=<AddBackward0>)
Loss : tensor(0.5809, grad_fn=<AddBackward0>)
Loss : tensor(0.4922, grad_fn=<AddBackward0>)
Loss : tensor(0.6065, grad_fn=<AddBackward0>)
Loss : tensor(0.4960, grad_fn=<AddBackward0>)
Loss : tensor(0.3899, grad_fn=<AddBackward0>)
Loss : tensor(0.4687, grad_fn=<AddBackward0>)
Loss : tensor(0.5246, grad_fn=<AddBackward0>)
Loss : tensor(0.5811, grad_fn=<AddBackward0>)
Loss : tensor(0.5227, grad_fn=<AddBackward0>)
Loss : tensor(0.5190, grad_fn=<AddBackward0>)
Loss : tensor(0.5017, grad_fn=<AddBackward0>)
Loss : tensor(0.5641, grad_fn=<AddBackward0>)
Loss : tensor(0.5936, grad_fn=<AddBackward0>)
Loss : tensor(0.5780, grad_fn=<AddBackward0>)
Loss : tensor(0.4878, grad_fn=<AddBackward0>)
Loss : tensor(0.5084, grad_fn=<AddBackward0>)
Loss : tensor(0.6106, grad_fn=<AddBackward0>)
Loss : tensor(0.5685, grad_fn=<AddBackward0>)
Loss : tensor(0.4729, grad_fn=<AddBackward0>)
Loss : tensor(0.5485, grad_fn=<AddBackward0>)
Loss : tensor(0.5010, grad_fn=<AddBackward0>)
Loss : tensor(0.4827, grad_fn=<AddBackward0>)
